customer_id,risk_level,risk_score,flags,flag_count
C001,HIGH,0.19999999999999998,"[{'flag': 'SPENDING_DECLINE_SEVERE', 'severity': 'HIGH', 'message': 'Spending dropped 21% - potential financial stress', 'action': 'Proactive payment plan discussion'}]",1
C002,MEDIUM,0.06666666666666667,"[{'flag': 'HIGH_CASH_WITHDRAWAL', 'severity': 'MEDIUM', 'message': 'Cash withdrawals at 20% of spending', 'action': 'Financial wellness check-in'}]",1
C003,MEDIUM,0.16666666666666666,"[{'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 23%', 'action': 'Payment reminder and education'}]",1
C004,HIGH,0.5499999999999999,"[{'flag': 'SPENDING_DECLINE_SEVERE', 'severity': 'HIGH', 'message': 'Spending dropped 23% - potential financial stress', 'action': 'Proactive payment plan discussion'}, {'flag': 'CRITICAL_UTILIZATION', 'severity': 'HIGH', 'message': 'Credit utilization at 99% - near limit', 'action': 'Immediate credit limit review and payment reminder'}, {'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 31%', 'action': 'Payment reminder and education'}, {'flag': 'SPENDING_UTILIZATION_STRESS', 'severity': 'HIGH', 'message': 'Declining spending with high utilization', 'action': 'Financial counseling referral'}]",4
C005,LOW,0.03333333333333333,[],0
C006,MEDIUM,0.08333333333333333,"[{'flag': 'SPENDING_DECLINE_MODERATE', 'severity': 'MEDIUM', 'message': 'Spending declined 19%', 'action': 'Monitor spending patterns'}]",1
C007,MEDIUM,0.08333333333333333,"[{'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 22%', 'action': 'Payment reminder and education'}]",1
C008,HIGH,0.26666666666666666,"[{'flag': 'HIGH_UTILIZATION', 'severity': 'MEDIUM', 'message': 'Credit utilization at 88%', 'action': 'Payment behavior monitoring'}, {'flag': 'HIGH_CASH_WITHDRAWAL', 'severity': 'MEDIUM', 'message': 'Cash withdrawals at 22% of spending', 'action': 'Financial wellness check-in'}, {'flag': 'UTILIZATION_PAYMENT_MISMATCH', 'severity': 'HIGH', 'message': 'High utilization with low payment ratio', 'action': 'Structured payment plan discussion'}]",3
C009,MEDIUM,0.11666666666666665,"[{'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 26%', 'action': 'Payment reminder and education'}]",1
C010,CRITICAL,0.6666666666666666,"[{'flag': 'SPENDING_DECLINE_SEVERE', 'severity': 'HIGH', 'message': 'Spending dropped 23% - potential financial stress', 'action': 'Proactive payment plan discussion'}, {'flag': 'CRITICAL_UTILIZATION', 'severity': 'HIGH', 'message': 'Credit utilization at 99% - near limit', 'action': 'Immediate credit limit review and payment reminder'}, {'flag': 'LOW_PAYMENT_FREQUENCY', 'severity': 'HIGH', 'message': 'Only 1% minimum due payments made', 'action': 'Payment assistance program offer'}, {'flag': 'SPENDING_UTILIZATION_STRESS', 'severity': 'HIGH', 'message': 'Declining spending with high utilization', 'action': 'Financial counseling referral'}, {'flag': 'PAYMENT_UTILIZATION_CRITICAL', 'severity': 'CRITICAL', 'message': 'Low payment frequency with high utilization', 'action': 'Immediate intervention required'}]",5
C011,LOW,0.16666666666666666,[],0
C012,CRITICAL,0.4333333333333334,"[{'flag': 'HIGH_UTILIZATION', 'severity': 'MEDIUM', 'message': 'Credit utilization at 86%', 'action': 'Payment behavior monitoring'}, {'flag': 'LOW_PAYMENT_FREQUENCY', 'severity': 'HIGH', 'message': 'Only 16% minimum due payments made', 'action': 'Payment assistance program offer'}, {'flag': 'PAYMENT_UTILIZATION_CRITICAL', 'severity': 'CRITICAL', 'message': 'Low payment frequency with high utilization', 'action': 'Immediate intervention required'}]",3
C013,MEDIUM,0.25,"[{'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 32%', 'action': 'Payment reminder and education'}]",1
C014,CRITICAL,0.4000000000000001,"[{'flag': 'LOW_PAYMENT_FREQUENCY', 'severity': 'HIGH', 'message': 'Only 8% minimum due payments made', 'action': 'Payment assistance program offer'}, {'flag': 'UTILIZATION_PAYMENT_MISMATCH', 'severity': 'HIGH', 'message': 'High utilization with low payment ratio', 'action': 'Structured payment plan discussion'}, {'flag': 'PAYMENT_UTILIZATION_CRITICAL', 'severity': 'CRITICAL', 'message': 'Low payment frequency with high utilization', 'action': 'Immediate intervention required'}]",3
C015,HIGH,0.26666666666666666,"[{'flag': 'SPENDING_DECLINE_SEVERE', 'severity': 'HIGH', 'message': 'Spending dropped 23% - potential financial stress', 'action': 'Proactive payment plan discussion'}, {'flag': 'SPENDING_UTILIZATION_STRESS', 'severity': 'HIGH', 'message': 'Declining spending with high utilization', 'action': 'Financial counseling referral'}]",2
C016,LOW,0.03333333333333333,[],0
C017,MEDIUM,0.11666666666666665,"[{'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 38%', 'action': 'Payment reminder and education'}]",1
C018,LOW,0.03333333333333333,[],0
C019,LOW,0.09999999999999999,[],0
C020,MEDIUM,0.11666666666666665,"[{'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 25%', 'action': 'Payment reminder and education'}]",1
C021,LOW,0.06666666666666667,[],0
C022,LOW,0.0,[],0
C023,MEDIUM,0.08333333333333333,"[{'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 24%', 'action': 'Payment reminder and education'}]",1
C024,CRITICAL,0.2833333333333333,"[{'flag': 'HIGH_UTILIZATION', 'severity': 'MEDIUM', 'message': 'Credit utilization at 80%', 'action': 'Payment behavior monitoring'}, {'flag': 'MODERATE_PAYMENT_FREQUENCY', 'severity': 'MEDIUM', 'message': 'Payment frequency at 23%', 'action': 'Payment reminder and education'}, {'flag': 'UTILIZATION_PAYMENT_MISMATCH', 'severity': 'HIGH', 'message': 'High utilization with low payment ratio', 'action': 'Structured payment plan discussion'}, {'flag': 'PAYMENT_UTILIZATION_CRITICAL', 'severity': 'CRITICAL', 'message': 'Low payment frequency with high utilization', 'action': 'Immediate intervention required'}]",4
